,School ,mean,lon,lat,Key
274,Beijing Xicheng District Shichahai Primary School ,144532,116.393433,39.929393,1
770,Qingyundian Town No.1 Central Primary School Lower Grade Department ,138710,116.513215,39.677543,0
263,Beijing No.161 Middle School Affiliated Primary School ,113247,116.390706,39.918235,1
171,Beijing Dongshishitiao Primary School ,113121.25,116.422075,39.93669,1
344,Beijing No.2 Experimental Primary School ,112587.7794,116.367702,39.904721,1
345,Beijing No.2 Experimental Primary School ,112587.7794,116.342319,39.795637,1
272,Beijing Zizhong Primary School ,109771.4444,116.381296,39.917192,1
492,Miyun No.6 Primary School ,100568,116.819162,40.371082,1
301,Beijing Normal University Jingshi Affiliated Primary School No.3 Branch ,99228.17647,116.370705,39.927245,1
406,Shijia Primary School Sui'anbo Campus ,98449.3125,116.424343,39.916126,1
623,Primary School Affiliated to Tsinghua University ,97264.78947,116.323053,39.995666,1
374,Beijing Lei Feng Primary School ,96717.47699,116.378382,39.942788,1
375,Beijing Lei Feng Primary School ,96717.47699,116.39173,39.947689,1
471,Fendou Primary School ,96632.0203,116.348686,39.925387,1
472,Fendou Primary School ,96632.0203,116.361635,39.90142,1
136,Beijing Mechanics Primary School ,96271.02424,116.377995,39.911382,1
43,Zhongguancun No.3 Primary School (North Campus) ,96054.67659,116.295229,39.968835,1
277,Beijing Xicheng District Normal School Affiliated Primary School ,96032.12705,116.385031,39.95243,1
278,Beijing Xicheng District Normal School Affiliated Primary School ,96032.12705,116.390917,39.955758,1
276,Beijing Xicheng District Fendou Primary School ,95860.86364,116.367351,39.898582,1
491,Miyun No.2 Primary School ,95637.5625,116.847142,40.371983,1
338,Beijing No.1 Experimental Primary School ,95554.26446,116.383048,39.896989,1
822,Huang Chenggen Primary School (Nursing Campus) ,95200.03047,116.364289,39.93162,1
360,Beijing Yuxiang Primary School ,95155.20953,116.377897,39.965583,1
719,Xidan Primary School ,94987.50079,116.369602,39.909426,1
49,Zhonggu Friendship Primary School ,94827.61641,116.340246,39.915993,1
50,Zhonggu Friendship Primary School ,94827.61641,116.350552,39.911992,1
283,"Xishiku Primary School, Xicheng District, Beijing ",93492.77586,116.38131,39.924113,1
403,Shijia Primary School ,93469.84615,116.4286,39.925392,1
818,Wong Shing Kun Primary School ,93465.84563,116.362355,39.93718,1
819,Wong Shing Kun Primary School ,93465.84563,116.376368,39.930751,1
273,Beijing Xicheng District Wulutong Primary School ,93411.96957,116.383425,39.960841,1
347,Beijing No.2 Experimental Primary School (Baiyun Road Branch) ,92085.09806,116.34374,39.904805,1
512,Fuxue Primary School ,92079.01277,116.41104,39.939599,1
284,Beijing Xicheng District Fuchengmenwai No.1 Primary School ,90277.71655,116.350439,39.921916,1
155,Beijing Primary School ,89544.8254,116.360739,39.896893,1
282,Beijing Xicheng District Yuxiang Primary School Sunshine Campus ,88936.27091,116.387114,39.966329,1
479,Wang Miao Primary School ,88765.85091,116.370538,39.915634,1
177,Beijing Dongcheng District Black Sesame Hutong Primary School ,88331.89216,116.404918,39.937644,1
356,Beijing No.8 Middle School Affiliated Primary School ,86682.451,116.382681,39.888073,1
395,Changqiao Primary School (North Campus) ,85398.94118,116.375318,39.938228,1
831,Black Sesame Hutong Primary School (Weaving and Dyeing Bureau Campus) ,85158,116.404671,39.931766,1
339,Beijing No.1 Experimental Primary School Qianmen Branch ,85152.87195,116.388897,39.899368,1
638,Dengshikou Primary School Beichizi Primary School Campus ,85127.09091,116.403324,39.919353,0
54,Yinyan Campus of Primary School Affiliated to Renmin University of China ,84951.61739,116.287249,39.967568,1
722,Xicheng District Primary School Labor Technology Center ,84949.15556,116.340634,39.908545,0
128,Primary School Affiliated to Beijing Jiaotong University (North Campus) ,84627.98529,116.342277,39.953954,1
720,Xicheng District Sanlihe No.3 Primary School ,84573.33161,116.337647,39.910796,1
636,Dengshikou Primary School ,84476.35632,116.414296,39.920719,0
275,Beijing Xicheng District Changqiao Primary School ,84103.25,116.377842,39.933435,0
500,Exhibition Road No.1 Primary School ,83687.24363,116.339194,39.930271,0
540,New Century Experimental Primary School ,83530.09538,116.395157,39.878494,0
40,Zhongguancun No.1 Primary School ,83464.54066,116.322265,39.983817,1
41,Zhongguancun No.1 Primary School ,83464.54066,116.275724,40.016313,1
384,Huajia Primary School ,83323.65041,116.361777,39.927992,0
362,Beijing Yuying School Primary School ,83313.98758,116.287651,39.910415,0
279,"Kangle Li Primary School, Xicheng District, Beijing ",82624.73962,116.36832,39.896182,0
610,Haidian District Experimental Primary School (Fucheng Road Campus) ,82543.36364,116.314001,39.923105,1
9,Primary School Affiliated to Sanfan Middle School ,82533.97177,116.386099,39.970496,0
524,Chi Shing Primary School (South Site) ,82524.76777,116.368856,39.935817,0
107,Experimental Primary School Attached to National People's Congress ,82253.9036,116.32144,39.974703,1
820,Huang Chenggen Primary School (Guanyuan Campus) ,82027.14583,116.361227,39.932018,1
787,Shun Shing Street No.1 Primary School ,81984.59888,116.377597,39.900574,0
544,Xinxin Hutong Primary School ,81742.09395,116.429899,39.920952,0
270,Beijing No.13 Middle School Affiliated Primary School ,81502.88889,116.385582,39.939278,0
285,Beijing Xicheng Foreign Language School Affiliated Primary School ,81451.18636,116.352901,39.929797,1
45,Zhongguancun No.2 Primary School (Zhongguancun Campus) ,81450.10451,116.317225,39.987115,1
637,Dengshikou Primary School Lower Grade Department ,81449.9557,116.42123,39.92235,0
420,Hepingli No.4 Primary School Dongcheng District Normal School Affiliated Primary School Campus ,80972.34351,116.410742,39.950992,1
359,Beijing Yucai School Taiping Street Campus ,80474.01445,116.386373,39.881491,0
150,Primary School Affiliated to Peking University ,80284.72727,116.318883,39.995294,1
589,Lieutenant Primary School ,80110.44286,116.414516,39.914837,0
17,Dongsijiutiao Primary School ,79911.51111,116.418315,39.93317,0
717,Xizhong Street Primary School (High Department) ,79710.21673,116.44094,39.940406,0
523,Zhicheng Primary School (North Site) ,79308.12778,116.37006,39.942554,0
164,Beijing Primary School Hongshan Branch ,79121.79524,116.332051,39.893485,1
545,Fangjia Hutong Primary School ,79055.40187,116.413618,39.944638,0
44,Zhongguancun No.3 Primary School South Campus ,78842.03948,116.297508,39.962483,1
683,Yucai School Primary School ,78785.28243,116.39232,39.875997,0
174,Beijing Dongcheng District Fensi Hall Primary School ,78611.69231,116.405649,39.943349,0
417,Hepingli No.1 Primary School ,78508.50971,116.420076,39.95803,1
598,Yongsheng Primary School ,78498,116.427438,39.889214,0
767,Yonghegong Primary School ,78407.43552,116.418445,39.94707,0
513,Fuxue Hutong Primary School Lower Grade Department ,78307.97619,116.418348,39.936982,1
323,Beijing Jingshan School North Campus Primary School Department ,78230.42163,116.426743,39.948429,1
47,Zhongguancun No.2 Primary School Huaqing Branch ,77888.99668,116.333833,39.991115,1
178,"Yonghegong Primary School Affiliated to Dongzhimen Middle School, Beijing ",77803.67766,116.410861,39.929395,0
418,Hepingli No.3 Primary School ,77555.61494,116.413426,39.962539,0
38,Donggaofang Primary School ,77103.75,116.402754,39.926914,0
4,Wan Quan Primary School ,76892.99505,116.302062,39.97047,1
350,Beijing No.2 Experimental Primary School Desheng Campus ,76834.5,116.38147,39.950785,1
396,Shuangyushu Central Primary School ,76827.81034,116.323571,39.96901,1
18,Dongcheng District Huimin Primary School ,76806.76119,116.429251,39.92385,0
309,Primary School Affiliated to Beijing Jianzhu University ,76682.58759,116.336352,39.935383,0
175,Beijing Dongcheng District Branch Hall Primary School (Beiluoguxiang Campus) ,76631.43478,116.401631,39.94769,0
405,Shijia Primary School Branch ,76357.11926,116.430875,39.935097,1
64,Primary School Affiliated to Chinese Academy of Agricultural Sciences (Meteorological Road Campus) ,76166.76138,116.336444,39.946915,0
791,Experimental Primary School of Capital Normal University (South Campus) ,75829.34253,116.327749,39.929974,0
346,Beijing No.2 Experimental Primary School (Yutaoyuan Branch) ,75682.70421,116.362886,39.942326,1
367,Beijing Progressive Primary School ,75584.39734,116.347625,39.936551,1
51,Primary School Affiliated to Renmin University of China ,75360.51931,116.277939,39.965327,1
678,Cuiwei Primary School East Campus ,75241.02222,116.312997,39.911064,1
501,Chongwen Primary School ,75164.40179,116.428986,39.895285,0
451,Daxing District No.2 Central Primary School Nanda Hongmen Complete Primary School ,74972,116.46009,39.724414,0
669,Doudian Town Wangchu Complete Primary School ,74767.27391,116.086491,39.658007,1
172,Beijing Dongcheng District Dongsiqitiao Primary School ,74584.15625,116.422795,39.932014,0
262,Qingnian Lake Primary School Affiliated to Beijing No.171 Middle School ,74123.56522,116.398599,39.956764,0
609,Haidian District Experimental Primary School (West 3rd Ring Campus) ,73930.18575,116.308783,39.92755,1
514,Fuxue Hutong Primary School Chaoyang School ,73749.95039,116.494058,39.935973,0
790,Capital Normal University Experimental Primary School ,73696.06012,116.329439,39.933859,1
332,Primary School Affiliated to Beijing Institute of Technology ,73643.45759,116.309121,39.961685,1
679,Cuiwei Primary School West Campus ,73579.38458,116.296885,39.913503,1
404,Shijia Primary School (Shijia Hutong Branch) ,73396.09091,116.418455,39.918728,1
766,Taoranting Primary School ,73190.28899,116.378509,39.877857,0
328,Beijing Haidian District Peixing Primary School ,72940.33333,116.256408,40.004637,0
694,Garden Village No.2 Primary School ,72710.41563,116.318704,39.931438,0
236,Beijing Haidian District Liulangzhuang Primary School ,72127.90265,116.293217,39.990849,0
23,Dongcheng District Xizongbu Primary School ,72123.00595,116.424098,39.912489,0
42,Zhongguancun No.1 Primary School (Tianxiu Department) ,71774.33962,116.278822,40.020017,1
680,Cuiwei Primary School Jinfan Music Hall ,71772.43443,116.303683,39.910113,0
732,Xiyi Primary School ,71599.33486,116.313092,39.965133,0
207,Beijing Guangqumen Middle School Affiliated Primary School ,71575.3279,116.431339,39.899869,0
265,Beijing No.109 Middle School Primary School Experimental Department ,71333.83654,116.42923,39.887123,0
119,Qianmen Primary School ,71246.6603,116.407661,39.899902,0
120,Qianmen Primary School ,71246.6603,116.413229,39.898172,0
536,Experimental Primary School Affiliated to Teachers' Continuing Education School (this campus) ,71200.88535,116.234732,39.956125,0
235,Beijing Haidian District Balizhuang Primary School ,71162.04554,116.299907,39.927669,0
146,Beijing Ditan Primary School ,71111.06264,116.410502,39.960576,0
782,Shunyi District Niulanshan No.1 Primary School ,70970.20611,116.654084,40.22698,1
563,Chaoyang District Anmin School ,70970.17192,116.514838,39.978118,0
233,Beijing Haidian District Jiuyi Primary School ,70854.08419,116.36154,39.979333,0
280,"Chunshuguan Primary School, Xicheng District, Beijing 
",70853.42169,116.34612,39.886645,0
728,Xiyuan Primary School ,70600.27027,116.293691,39.992647,0
244,Beijing Haidian District Cuiwei Primary School ,70183.04044,116.303621,39.909772,1
62,Primary School Affiliated to Chinese Academy of Agricultural Sciences ,70076.31875,116.328385,39.95773,0
6,Wanquan Primary School Shuguang Branch ,69763.56698,116.291207,39.946036,0
419,Hepingli No.4 Primary School (and No.2 Campus) ,69679.8078,116.42742,39.951008,0
19,Dongcheng District Banchang Primary School ,69667.76488,116.423435,39.880519,0
20,Dongcheng District Banchang Primary School ,69667.76488,116.44097,39.885195,0
160,Beijing Primary School Tianning Temple Branch ,69507.14353,116.345476,39.893518,0
528,Fangshan No.3 Primary School ,69499.18163,115.980301,39.689371,1
377,Beixinqiao Primary School ,69452.19561,116.435709,39.948707,0
364,Primary School Affiliated to Beijing University of Aeronautics and Astronautics ,69159.16667,116.349349,39.977754,0
652,Baijiazhuang Primary School (North of the School) ,69113.81553,116.456201,39.930075,0
445,Pui Sun Primary School ,69073.09375,116.432426,39.88903,0
110,Shichahai Primary School Branch ,69031.5,116.395007,39.929994,0
133,Beijing Guangming Primary School Campus Lower Grade Department ,68979.60731,116.432762,39.88661,1
112,Bayi Primary School ,68967.21414,116.307747,39.978052,0
337,Primary School Affiliated to University of Science and Technology Beijing ,68752.78316,116.364247,39.992079,0
486,No.1 Primary School Affiliated to Xuanwu Normal School (Liren Street) ,68599.62866,116.36946,39.875434,0
677,Yangfangdian No.4 Primary School ,68303.74013,116.319618,39.903388,0
132,Beijing Guangming Primary School Campus ,68300.55034,116.437435,39.88361,1
612,Haidian District Experimental Primary School Suzhou Street Campus ,68280.54633,116.304896,39.951404,0
601,Huiwen No.1 Primary School (North District) ,68272,116.432875,39.905309,1
176,Beijing Dongcheng District Anwai Santiao Primary School ,68245.60732,116.406482,39.954827,0
371,Beijing Railway Experimental Primary School ,68031.42513,116.328304,39.902027,0
161,Beijing Primary School Tianning Temple Branch (East District) ,68024.9426,116.346523,39.893272,0
147,Primary School Affiliated to Beijing Foreign Studies University ,67988.85371,116.31252,39.951466,0
127,Primary School Affiliated to Beijing Jiaotong University (East Campus) ,67961.80103,116.348368,39.9531,0
239,Beijing Haidian District Xueyuan Road Primary School ,67820.91463,116.35129,39.971042,0
651,Baijiazhuang Primary School (Chaowai Campus) ,67715.31022,116.436671,39.927315,0
827,Huangcun Town No.1 Central Primary School Fuyuan Campus ,67549.91596,116.35049,39.753976,0
48,Zhongguancun No.4 Primary School ,67476.51542,116.339619,39.969439,0
153,Beijing Experimental School Haidian Primary School ,67452.98663,116.331016,39.92587,0
117,Qianjin Primary School ,67451.60751,116.35999,39.974381,0
65,China Academy of Educational Sciences Chaoyang Experimental School Primary School Senior Department ,67437.01554,116.397959,39.973317,1
422,Huimin Experimental Primary School ,67138.8134,116.428052,39.897815,0
446,Peixing Primary School (North Campus) ,67120.5,116.250954,40.009128,0
246,"Garden Village No.2 Primary School, Haidian District, Beijing (Erligou School District, Haidian District) ",66961.14865,116.317503,39.935284,0
695,Garden Village No.2 Primary School (Branch) ,66706.57586,116.317394,39.935294,0
223,"Department 2, Chaoyang District Foreign Language Primary School, Beijing ",66651.93205,116.403878,39.996105,0
334,Primary School Affiliated to Beijing Petroleum Institute ,66617.83315,116.363635,39.994916,1
237,Beijing Haidian District Tuqiang No.2 Primary School ,66564.33111,116.271173,39.909584,0
148,Primary School Affiliated to Beijing Foreign Studies University (Weigongcun Campus) ,66463.44086,116.31786,39.953626,0
281,Beijing Xicheng District Denglai Primary School ,66425.3786,116.354005,39.888132,0
46,Zhongguancun No.2 Primary School (Baiwang Campus) ,66336.55427,116.268667,40.047731,1
397,Shuangyushu No.1 Primary School ,66054.30072,116.327241,39.97023,0
613,Haidian District Teacher Training School Affiliated Experimental Primary School ,65741.51282,116.258639,39.955167,0
515,Fuxue Hutong Primary School Art Museum Houjie Campus ,65606.5,116.408051,39.92962,1
721,Xicheng Experimental Primary School ,65485.16646,116.353189,39.874054,0
349,Beijing No.2 Experimental Primary School Guangwai Branch ,65407.35995,116.339811,39.882269,0
463,Tiantan Dongli Primary School ,65399.92683,116.418479,39.876445,0
22,Dongcheng District Jingzhong Street Primary School ,65248.73988,116.402794,39.888743,0
108,Chaoyang School Primary School of High School Attached to National People's Congress ,65112.46561,116.437856,39.98612,0
616,Haidian District No.3 Experimental Primary School South Campus ,64956.94864,116.34377,39.991703,0
803,Xiangchang Road Primary School ,64924.91429,116.393564,39.889298,0
485,Xuanwu Huimin Primary School ,64908.23906,116.369516,39.88827,0
162,Beijing Primary School Guangnei Branch ,64873.77957,116.353732,39.891462,0
607,Haidian District Liuyi Primary School ,64589.23389,116.287116,39.928587,0
163,Beijing Primary School Guangwai Campus ,64569.25153,116.33176,39.885641,0
331,Primary and Secondary School Affiliated to Beijing Institute of Technology ,64543.64624,116.303835,39.946338,0
109,"Liangjia West School, Affiliated Primary School of National People's Congress ",64541.73982,116.272383,39.933182,0
5,Wanquan Primary School Xiaonanzhuang Campus ,64510.4963,116.306136,39.968178,0
577,Primary School Affiliated to Chaoyang Normal School ,64500.68229,116.422112,39.965923,0
578,Primary School Affiliated to Chaoyang Normal School ,64500.68229,116.451952,39.973129,0
402,Historians Experimental School ,64453.7807,116.437801,39.937494,0
794,Primary School Affiliated to Capital Normal University ,64282.55499,116.27093,39.942088,0
293,Beijing Chen Jinglun Middle School Branch Primary School ,64154.5413,116.461147,40.008985,0
752,Jintai Shuyuan Primary School ,64091.85022,116.41095,39.891268,0
126,Primary School Affiliated to Beijing Jiaotong University ,63986.72287,116.348494,39.94542,0
705,Fangcaodi International School Shuanghuayuan Campus ,63886.82863,116.452689,39.898234,1
232,Beijing Chaoyang Foreign Language School (Beiyuan Branch) ,63826.20782,116.430717,40.026642,0
674,Luyuan School ,63722,116.54011,39.92722,0
78,Central Business District Experimental School Primary School ,63552.9225,116.47728,39.90982,0
336,Beijing Petroleum Affiliated Primary School ,63401.98563,116.366841,39.989343,0
156,Beijing Primary School (North Line Pavilion Day Branch) ,62895.10396,116.353345,39.891596,0
615,Haidian District No.3 Experimental Primary School ,62861.7365,116.340912,39.993913,0
111,Gymnasium Road Primary School ,62731.61406,116.426006,39.885698,0
240,Beijing Haidian District Experimental Primary School (Beiwa Road Campus) ,62662.60324,116.301055,39.941886,1
79,Yimei Primary School Attached to Central Academy of Arts and Crafts ,62603.46312,116.44513,39.94526,0
61,Secondary School Affiliated to Chinese Academy of Agricultural Sciences ,62107.13333,116.337293,39.959903,0
771,Youth Lake Primary School ,62080.08515,116.34824,39.878268,0
7,Sanyili Primary School ,62075.49512,116.329124,39.886722,0
370,Primary School Affiliated to Beijing University of Posts and Telecommunications (Wenhuiyuan Campus) ,62066.12961,116.360122,39.951565,0
596,Ethnic Primary School North Campus ,62032.71079,116.374072,39.980042,0
535,Mandarin School for Migrant Children Primary School ,61947.52738,116.250367,40.038738,0
568,Chaoyang District Normal School Affiliated Primary School Heping Street Branch North Campus ,61715.70098,116.426278,39.96593,0
786,Shunyi District Zhao Quanying Central Primary School ,61619.13761,116.592812,40.210536,0
625,Tsinghua University Affiliated Primary School Business Center Experimental Primary School ,61591.92126,116.441702,39.90495,0
626,Tsinghua University Affiliated Primary School Business Center Experimental Primary School ,61591.92126,116.454622,39.906766,0
675,Yangfangdian Central Primary School ,61441.67018,116.326465,39.900711,0
560,Xinghuo Primary School ,61427.03218,116.367011,39.953273,0
685,Yuk Hung School Primary School ,61276.0303,116.3129,39.898806,0
575,Chaoyang Foreign Language School Primary School ,60977.95781,116.381202,39.999931,0
0,THE BRITISH SCHOOL OF BEING SANLITUN ,60831.27545,116.453614,39.944579,0
672,Honglian Primary School ,60741.97725,116.334359,39.882226,0
773,Qingmiao International Bilingual School Sunshine Shangdong Campus ,60712.99045,116.48438,39.96337,0
372,Beijing Railway Workers' Children No.11 Primary School ,60625.40437,116.289382,39.802762,0
63,Primary School Affiliated to Chinese Academy of Agricultural Sciences (Political Science and Law Road Campus) ,60590.14073,116.350408,39.963295,0
697,Huajiadi Experimental Primary School Fangzhou Campus ,60501.5458,116.462491,39.980625,0
684,Yuying School Xicui Road Campus ,60365.59668,116.286218,39.918131,0
800,Yuquan School Affiliated to Capital Normal University (Yuquan Campus Affiliated to Primary School) ,60351.57602,116.24694,39.964408,0
413,Hujialou Central Primary School (Headquarters) ,60272.34615,116.467069,39.920619,0
352,Beijing No.2 Experimental Primary School Chaoyang School ,60230.25243,116.485621,39.895556,0
564,Chaoyang Experimental Primary School ,60174.30459,116.459602,39.830046,0
795,Primary School Affiliated to Capital Normal University (Liuming Campus) ,60156.68531,116.237951,39.921653,0
565,Chaoyang District Experimental Primary School (Runze Campus) ,60101.41847,116.432634,40.05459,0
581,"Xibahe Campus, Primary School Affiliated to Chaoyang Normal School (Low Department) ",59949.4212,116.451342,39.965584,0
234,Beijing Haidian District Wuyi Primary School ,59917.30973,116.263397,39.901773,0
295,Beijing Chen Jinglun Middle School Branch Wangjing Experimental School Baoxing Campus ,59581.27267,116.481604,40.000434,0
144,Beijing Hepingli No.4 Primary School ,59571.65526,116.428821,39.957809,0
369,Primary School Affiliated to Beijing University of Posts and Telecommunications ,59480.53189,116.360157,39.955489,0
327,Primary School Affiliated to Beijing Forestry University ,59354.23579,116.348431,40.004594,0
519,Jianhua Experimental School ,59244.38628,116.257059,39.900786,0
494,University of International Business and Economics Affiliated Primary School ,59215.25526,116.420986,39.978967,0
53,Renmin University of China Affiliated Primary School Liangjia Branch ,59114.22502,116.278536,39.929656,0
412,Hujialou Central Primary School (South Campus) ,59081.67089,116.469044,39.914774,0
706,Fangcaodi International School Ritan Campus ,58876.4464,116.448528,39.91827,0
16,Dongbeiwang Central Primary School ,58705.91384,116.278179,40.030018,0
152,"Xiaojiahe Branch School of Peking University Affiliated Primary School 
",58678.4425,116.288022,40.020633,0
539,Wenhui Primary School ,58639.01698,116.446551,39.896185,0
594,Sakura Garden Experimental School Primary School Teaching Building ,58580.66018,116.420219,39.97472,0
325,Beijing Chaoyang Foreign Language Primary School ,58564.38298,116.412135,39.970912,0
373,Beijing Chen Jinglun Middle School Jiaming Branch Xiuyuan Campus ,58502.94859,116.413921,39.997644,0
307,Chaoyang Primary School Affiliated to Beijing Normal University ,58357.41411,116.369966,40.015603,0
579,Chaoyang Normal School Affiliated Primary School Heping Street Branch South Campus ,58335.22804,116.42991,39.961608,0
60,Primary School Affiliated to China Agricultural University ,58273.22404,116.278589,40.021534,0
624,CBD Experimental Primary School of Tsinghua University Affiliated Primary School (Second Campus) ,58236.52941,116.44168,39.904336,0
74,"Junior Grade Department of Anhuili Campus, Beijing Experimental School Affiliated to China Conservatory of Music ",57802.84469,116.411752,39.99001,0
707,Fangcaodi International School Ethnic Campus ,57750.89823,116.437455,39.917678,0
743,Tongzhou District Hou Huang Zhuang Primary School ,57730,116.879732,39.741817,0
538,Primary School Attached to the Faculty of Education ,57678.86667,116.245291,39.930698,0
71,Wuli Campus of Yuquan Primary School Affiliated to Chinese Academy of Sciences ,57648.89133,116.257016,39.920832,0
576,Chaoyang Experimental Primary School (North District) ,57637.5,116.447902,39.936774,0
76,Central Business District Experimental School ,57628.65297,116.477273,39.909803,0
77,Central Business District Experimental School ,57628.65297,116.477186,39.903435,0
138,Beijing University of Chemical Technology Affiliated Middle School Primary School Anyuan Campus ,57544.12129,116.410382,39.987941,0
698,Huajiadi Experimental Primary School Chaolai Campus ,57307.48101,116.434845,40.037448,0
69,Yuquan Primary School Affiliated to Chinese Academy of Sciences ,57296.73333,116.24206,39.926578,0
