Region,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012
Chaoyang,27273,27067,27835,28394,28646,29103,29868,30692,31466,32020,32608,33329,34858,36017,38350,40304,40922,41528,42030,42672,43221,44090,44442,44662,44836,44964,45161,45002,45007,44553,43444,44177,43924,43938,44096,44090,43855,44021,43033,42690,42837,42994,43071,43202,43504,43654,43887,44308,46153,47062,50231,53363,54324,54906,55645,56975,59485,64868,69027,70278,72018,73278,78387,83190,82910,82057,79853,77766,77188,76145,75142,74639,73412,74920,72500,72735,73377,74169,74688,74733,76208,76059,74399,74312,74379,75091,74705,74456,74155,74253,73972,73457,73066,72821,72639,72218,71932,71688,71693,71666,71667,72064,72285,72116,72250,71912,72079,72226
Haidian,31024,30833,31860,32955,33305,33705,34726,35912,37637,38473,39203,40536,42545,44505,48190,50923,51446,51801,52325,52522,52849,53580,54016,54221,54017,54296,54226,53745,53403,52357,50335,49392,49841,48903,49030,49300,49451,48797,49935,50872,51551,52435,53221,53856,54470,54836,55602,56264,58025,59469,64622,69570,69935,70236,70693,71958,74601,79553,84166,85041,86251,87388,93437,94347,94985,91707,89097,86565,88083,88381,87629,88154,86889,84173,87544,87021,87503,88588,89519,90271,91354,91574,90970,90353,89301,89442,89396,90427,90010,89931,90334,90688,90368,89766,88800,88408,88407,89196,89382,88722,89054,88394,89258,89010,89187,89475,89840,90062
Dongcheng,34960,34881,34766,36403,36947,37895,38095,39754,41613,42209,43035,43997,46283,47776,50350,53105,54174,54400,56460,57649,58710,59252,57998,58566,58573,58859,59263,58791,57857,57284,55763,55080,55294,53766,54748,55626,54643,55120,56163,57495,58478,59177,59824,61065,61985,62787,64099,64244,67284,69099,76142,81890,84511,85579,86909,88150,90025,97507,104246,104372,107255,109233,117604,115035,111393,108373,107724,109868,108507,107505,105611,103927,102917,102017,101135,101819,102587,103062,103252,103366,103694,103860,102732,102432,100024,100108,99316,102061,102734,102908,104216,104557,103534,102435,100003,97965,98372,98586,98816,100879,100221,100337,100619,102021,101068,101739,100572,101736
Xicheng,39641,39954,40256,41230,41249,42109,43670,46421,48864,49023,49640,50928,54156,56026,60121,63235,63875,64248,64811,65102,65132,65869,66802,66805,66955,67001,67554,67932,67563,68177,68668,67633,67491,66678,65496,65921,65758,71546,67395,69367,69669,70846,72395,73869,77061,78124,78466,78804,84561,86510,93125,98723,98884,99936,98469,99524,102176,110094,111573,112984,117010,120006,131687,116316,123783,118346,118373,117191,115077,110221,110324,111748,112756,108002,110751,109225,110339,113413,114241,118891,121745,121827,118330,119214,119598,121759,119837,120324,120686,120759,120272,121767,119870,121202,119970,120321,122643,126236,123640,124247,124609,124342,124062,123753,123451,123199,122918,122638
Fengtai,22817,22497,22977,23394,23743,24052,24770,25580,26302,26972,27279,27956,29065,30292,32817,35027,35616,36204,36755,37215,37817,38394,38652,39063,39210,39382,39431,39426,39427,38999,37700,36893,36545,36169,36684,36672,36883,37242,35801,35454,35167,35099,35053,34926,35124,35279,35533,35691,37917,37481,39442,41377,42309,43109,44329,45777,48908,55927,59064,60195,61061,61473,65938,67387,66696,64506,63228,62639,61894,60287,59392,59768,59258,58531,59028,58845,58676,59155,60243,60899,61076,61298,60583,60583,60757,61017,61326,60792,60682,60304,60099,59941,59855,59893,59751,59233,59273,59699,59563,59174,59426,59480,59443,59380,58929,58627,58413,58650
Tongzhou,14194,14067,14302,14619,14710,14844,15147,15542,16033,16253,16447,16676,17254,17769,18959,20102,20428,20892,21513,22108,22655,23330,24087,24482,24817,24982,25132,25183,25114,24308,23419,23126,22730,22390,22389,22196,22392,22171,22669,23039,22902,22983,23595,24882,25550,26195,26606,27121,29858,30828,33926,36229,36731,37113,38378,39739,42484,47966,50305,50554,51214,50405,51620,51140,48767,44165,43480,43162,46432,46369,44754,44892,44959,38663,44396,44904,44385,46509,46882,47340,48744,49339,48581,48556,48613,48379,48486,48962,49346,49661,50000,49802,49158,48337,47481,46922,46871,47334,47174,46705,46080,46101,45586,44940,44869,44759,44650,44518
Shijingshan,19938,19654,20351,21197,21521,21864,22370,23348,24125,24470,24723,25208,26720,28610,30967,32270,32307,32869,33384,34074,34558,35062,35265,35404,35072,35198,35506,35932,35748,34741,33371,31880,30916,31078,33559,35639,35326,34914,32649,32264,32069,32075,31847,31814,31864,32051,32366,32427,33482,33902,35081,37285,38103,39090,39887,40784,43491,49832,52371,52270,52994,53795,58746,62487,63344,62492,59446,56846,56791,55060,53980,54592,54099,51215,53826,53956,54300,54434,54059,54081,54288,54183,52959,52233,52794,52164,52655,52049,52967,53316,52598,52531,51850,50795,49965,49841,49889,49793,50024,49641,50229,50665,50561,50379,50159,50729,50413,50578
Changping,15530,15210,15845,16224,16290,16394,16682,16782,17271,17678,17835,18225,18915,19630,21143,22686,23149,23408,23334,23691,24482,25495,25911,26036,26385,26639,26681,26000,25793,24787,23504,22736,21989,21554,21561,21582,21464,21404,22061,22565,22658,22850,22879,23100,23276,23031,23047,23150,24136,24218,25188,26578,27529,27837,28228,29252,31106,34629,36934,37404,38605,39823,43069,44279,44267,43429,42282,41356,42040,41545,41439,41280,40992,39216,40303,40653,41070,41277,41755,42919,43519,43996,43375,42878,42545,42340,42696,42768,42844,42792,42700,42667,42371,42297,41937,41612,41387,41218,41273,42065,42119,42278,42734,42467,42590,42290,42172,42178
Daxing,15796,15473,15791,16052,16238,16413,16851,17492,18030,18379,18583,18929,19726,20158,21490,23433,23979,24315,24692,25266,26044,26818,27681,27815,27971,28152,28434,28169,27942,26880,25754,25082,24587,24398,24612,24984,24928,24964,25046,25511,25617,25295,25137,25454,25774,25981,26089,26314,27459,28002,28833,30328,31024,31830,32967,34557,37066,41801,42947,43626,44056,45196,48890,51489,51665,49843,49492,48873,48047,46844,45688,45089,44733,44306,44337,44504,44589,44632,44962,45962,46651,46438,45700,44618,44421,44547,44800,44995,45144,44738,44335,43829,43326,42864,42275,42033,41771,41960,42724,42102,42153,42024,42263,42450,42405,42147,41748,41952
Shunyi,13774,13643,14228,14244,14132,14076,14399,14929,15498,15821,16050,16240,16711,17191,18173,19678,20491,21119,21668,22242,22808,23570,24475,24789,24710,24676,24529,24271,24103,23443,22398,21996,21901,21860,21795,21677,21372,21307,21526,21609,21769,22057,22232,22510,22885,23156,23369,23225,24571,24921,27186,29106,29565,29832,30528,31185,32740,36934,40567,40827,41052,41438,43583,46808,46255,45557,44691,44142,44078,43684,43339,42948,42518,41794,42292,42258,42288,42204,42555,43081,42936,42941,42771,42792,42899,42976,43947,43707,43460,43017,43142,42745,42285,41731,41189,40683,40763,41218,40671,40839,40743,40659,40748,40902,40898,40537,40630,40537
Fangshan,10852,10665,10641,10548,10507,10643,10791,10874,10908,11004,11185,11197,11330,11449,12399,13693,14453,15055,15355,16094,16777,18014,18974,19351,19675,20004,20350,20141,20054,19514,19040,18819,18268,17888,17860,17571,16688,16433,16830,16923,17233,17324,17379,17309,17175,17020,16936,17023,17766,17881,18357,18751,18779,18994,19128,19411,19900,23377,25896,26104,27807,29544,33296,36726,38722,37596,35781,34814,33555,32691,32213,32040,31046,30715,30832,30664,30646,30935,31424,31524,31576,31534,30967,30330,29908,30203,30876,30762,30795,30794,30766,30629,30598,30241,29259,28682,28740,28688,28905,29194,29308,29336,29116,29032,28972,28882,28901,28695
Mentougou,15913,15357,14989,14986,15099,15256,15356,15688,15808,15834,16319,16827,17485,18173,19044,20020,20373,20514,20914,21657,23040,23494,23782,24243,24695,24907,25208,25000,24811,24353,23665,22658,21918,21220,21032,20763,20525,20115,20122,20730,21418,21858,21870,22367,22357,22331,22282,22081,22858,23182,24048,24541,24886,25027,26096,27724,30543,37936,39590,39484,40610,42612,46897,54935,52779,47372,47460,46242,44837,43705,42849,42526,42449,41748,42258,42142,41905,41740,42272,41321,42046,40678,40648,39487,40438,40225,40855,40525,40987,40948,40260,40016,41541,41334,39298,37745,38251,38439,38817,38881,38399,38367,38009,38270,38889,38913,39003,38949
Miyun,9536,9390,9401,9451,9468,9526,9644,9744,9940,10002,10044,10323,10572,10764,11326,12159,12560,13048,13329,13653,14183,15024,16012,16618,16933,17218,17571,17731,17497,17203,16967,16437,16212,15839,15550,15620,15609,15674,15707,15677,15746,15926,15921,15821,15699,15640,15829,16123,17097,17313,18445,19514,19870,20208,20414,20767,21261,22681,23645,24382,25274,25771,27401,29060,29151,29231,29191,28938,28508,28241,27819,27454,26906,26250,26333,25973,25797,25917,25878,25810,25825,26061,25817,25372,25492,25385,25293,25659,25620,25313,25516,25259,25003,24970,24807,24722,24756,24912,24817,24891,25046,25229,25168,25286,25412,25530,25898,26018
Huairou,13660,13653,13675,13606,13652,13909,14613,14567,14350,14527,14581,14928,13654,14466,15105,15626,15439,15972,15920,15607,16957,16957,17399,18600,18569,34133,28779,15750,15038,15517,14784,14623,14266,14193,14339,16617,16510,16103,13407,15290,16954,16854,18311,19577,18619,18724,18598,18788,18787,19085,20568,21699,22367,22750,22915,23624,24115,24886,26076,27115,28814,30225,34713,38679,39403,39381,39060,38287,37578,36518,35982,35627,34998,35020,34527,33703,33460,33334,33448,33751,33238,32654,32688,32205,32310,32053,32279,32057,32188,32179,32032,31772,32100,31526,31199,31597,31265,31531,31128,31870,32251,32193,32346,32301,32442,32359,32237,32174
Pinggu,12566,12497,11919,12626,11316,11466,10582,11010,11111,11111,10767,11098,10803,11706,12634,13795,13873,13302,13533,13664,13483,13425,9000,9437,13649,13776,13776,13776,13776,13776,13754,13776,10757,10757,17926,17926,7340,7340,13075,14632,14612,14520,14520,14994,13895,13804,14240,14341,15534,15323,16493,16562,15413,15655,15483,15700,15809,17222,18195,18152,18169,19524,24383,25067,25622,25013,24758,25472,27015,26610,25714,26420,26454,24521,24897,24683,24511,25235,24898,25744,25994,26229,25148,24810,24120,23039,23907,24525,24709,24360,24267,24144,24646,24532,24461,24088,24792,25164,25295,25143,24986,25023,25004,25256,25133,25138,25298,25269
Yanqing,12211,13022,10569,13888,10329,10231,9420,9627,10775,10881,10973,10712,11325,11597,11768,11928,12125,10930,11766,11822,13066,12611,13042,12243,9841,9841,12184,12875,12743,12195,9322,9939,8945,8653,8560,8447,5062,8512,9456,9299,9418,20265,15560,8321,6464,6540,6186,6463,6463,6482,8855,9950,14016,15556,15063,14778,14999,21221,19846,18445,20316,21640,26108,27871,28300,26635,24894,27653,27446,26547,26213,25408,24563,23882,24360,24152,24281,24477,24572,24867,24908,25736,25583,25023,24160,24203,24246,25338,25550,25373,25111,24618,24812,24336,23714,22986,22669,22645,22559,22502,22450,22285,22213,22363,22038,22368,21950,21867